,Unnamed: 0,Batter_Name,bowler.type,Runs,BallsFaced,StrikeRate
1,2,Ayush Badoni,Left arm wrist spin,13,11,118.18
2,3,Ayush Badoni,Left arm pace,118,81,145.68
3,4,Ayush Badoni,Leg spin,70,62,112.9
4,5,Ayush Badoni,Off spin,81,64,126.56
5,6,Ayush Badoni,Right arm pace,336,239,140.59
6,7,Ayush Badoni,Slow left arm orthodox,14,16,87.5
7,8,A Kamboj,Right arm pace,2,2,100.0
9,10,Abhinav Manohar,Left arm wrist spin,10,14,71.43
10,11,Abhinav Manohar,Left arm pace,50,37,135.14
11,12,Abhinav Manohar,Leg spin,51,32,159.38
12,13,Abhinav Manohar,Off spin,11,16,68.75
13,14,Abhinav Manohar,Right arm pace,90,56,160.71
14,15,Abhinav Manohar,Slow left arm orthodox,15,17,88.24
15,16,Amit Mishra,Leg spin,1,11,9.09
16,17,Amit Mishra,Right arm pace,17,18,94.44
17,18,Amit Mishra,Slow left arm orthodox,1,1,100.0
18,19,Anrich Nortje,Left arm pace,11,10,110.0
19,20,Anrich Nortje,Leg spin,1,3,33.33
20,21,Anrich Nortje,Off spin,1,5,20.0
21,22,Anrich Nortje,Right arm pace,29,25,116.0
22,23,Angkrish Raghuvanshi,Left arm pace,32,18,177.78
23,24,Angkrish Raghuvanshi,Leg spin,26,18,144.44
24,25,Angkrish Raghuvanshi,Off spin,10,6,166.67
25,26,Angkrish Raghuvanshi,Right arm pace,85,53,160.38
26,27,Angkrish Raghuvanshi,Slow left arm orthodox,10,10,100.0
27,28,Abhijeet Tomar,Left arm pace,0,2,0.0
28,29,Abhijeet Tomar,Right arm pace,4,6,66.67
29,30,Adam Zampa,Left arm wrist spin,1,2,50.0
30,31,Adam Zampa,Leg spin,2,4,50.0
31,32,Adam Zampa,Off spin,2,5,40.0
32,33,Adam Zampa,Right arm pace,5,5,100.0
33,34,AA Kulkarni,Left arm pace,4,4,100.0
34,35,AA Kulkarni,Right arm pace,5,4,125.0
35,36,AB de Villiers,Left arm pace,23,12,191.67
36,37,AB de Villiers,Leg spin,54,43,125.58
